,artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers
133,Bad Bunny,Andrea,44XjoNvtwevktFKjvVe1vH,90,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134
134,The Harvard Krokodiloes,In a Sentimental Mood,69sdSYaI6o7ta9gjFVGgcE,7,1YgfLHmN8WBmunQOPAzxTh,7,[],362
135,Bailey Zimmerman,Fall In Love,5gVCfYmQRPy1QJifP8f5gg,79,3win9vGIxFfBRag9S63wwf,68,['contemporary country'],132852
136,Chakra,I Am (The Space Brothers Remix) - 2022 Remaster,0blrlOlHku8MBGAavtvgsn,14,7h6r54f4n9PtgfWIDqhsmM,23,[],460
137,Morgan Wallen,Thought You Should Know,6NHpyYvJyQsg2nXXzGYc2R,79,4oUHIQIBe0LHzYfvXNW4QM,83,['contemporary country'],3668194
138,Master,Can the Us Be so Great - Remaster 2022,1e9GEPlq8z4NpJUZN1zFrF,4,2nEopdTfDVIY9e2UipMKNj,20,"['death metal', 'deathrash', 'grim death metal']",26815
139,Bad Bunny,Aguacero,2uflssWlCaJ6CbTMOsUpNI,89,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134
140,Club Killers,New Years Eve 2022 Countdown,6RVoGOMEywzerRieiw5t9m,4,2HUKeBQtdAvY9qwhYw0vpg,19,[],755
141,Bad Bunny,Un Coco,6VrQTLzzuyGIYjUDe4kAZk,89,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134
142,Jyc Row,Year of the Tiger (Equestria Spring Festival Celebration 2022),7k3vvF7gbBVW9ejRn0zBOU,5,4bxdd9ZVrxrzmjfFKmGxcp,31,['pony'],4961
143,Camila Cabello,Bam Bam (feat. Ed Sheeran),0QBzMgT7NIeoCYy3sJCof1,91,4nDoRrQiYLoBzwC5BhVJzF,83,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",27396800
144,Workout Music ,Rise Up (Warmup Workout Mix),6hnwbz6odadbu3bmMUHEv4,9,5njMahLKD1tLJ5bejvqseV,37,['workout product'],63976
145,Tyler Hubbard,5 Foot 9,6AqwH2Y9FJwhUE2dCSkw1u,79,3BEV5FcxOtkQJ7lLRKMh3V,63,[],13458
146,Chill Work Music,Calming Lofi Music To Study To,3zxhdXTqGsmdq3xrRyCTP1,9,2StkxynXhBE3soop6dEvBB,26,[],170
147,Calvin Harris,Potion (with Dua Lipa & Young Thug),7fYRg3CEbk6rNCuzNzMT06,88,7CajNmpbOovFoOoasH2HaY,85,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",22886564
148,Chill Work Music,HipHop Lofi For Work,19x7ntn4azINjmEIQhtNed,8,2StkxynXhBE3soop6dEvBB,26,[],170
149,Polo G,Distraction,1oc92BMKYkNxK17C2GtyRM,82,6AgTAQt8XS6jRWi4sX7w49,83,['chicago rap'],7919926
150,Last Year's Man,'Neath the Harrowed Sky,4fLc4EG3fjEvS7l1qiI22w,13,56XJ4jcK8kaqy6jbJbGs2M,11,['eugene indie'],256
151,Cardi B,Hot Shit (feat. Ye & Lil Durk),3uJFmluXzYedoJcvhpC1AW,83,4kYSro6naA4h99UJvo89HB,81,"['dance pop', 'pop', 'pop rap', 'rap']",20454789
152,Guru Randhawa,"Dance Meri Rani (From ""Dance Meri Rani"")",1c3aklQsFCwptZyLcvE2oe,18,5rQoBDKFnd1n6BkdbgVaRL,67,"['desi hip hop', 'desi pop', 'modern bollywood']",11461949
153,Lil Baby,Right On,6ws54n2IzyrIxxyzlG2bVJ,80,5f7VJjfbwm532GiveGC0ZK,87,"['atl hip hop', 'atl trap', 'rap', 'trap']",11002396
154,Last Year's Man,Time Brings Change,4ZLcLBGnrTGXVK48bzS9ss,14,56XJ4jcK8kaqy6jbJbGs2M,11,['eugene indie'],256
155,Bad Bunny,Dos Mil 16,4d4ZXH4dr5bYfgErHiZCX2,89,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134
156,Carlo Rustichelli,"RoGoPaG Twist - From ""Ro.Go.Pa.G."" / Remastered 2022",2yuRiL4D6YuupXs2UiuVCG,7,4zPqGt9888ogJunfNtXubd,28,"['classic soundtrack', 'vintage italian soundtrack']",2601
157,Nate Smith,Whiskey On You,6Tm4Io4ct4w14nB1EUzsY3,79,4NYMUsIcUUsBHbV9DICa5x,64,['contemporary country'],102185
158,Sunday Morning Jazz,New Year's Resolutions,5lA9sILUX3Ie2XrXSGtHrU,7,7lUnk0WPiYsgE89MHnXM4b,34,[],712
159,Bad Bunny,El Apagón,0UvZcEfpzVyx47QsRbjyBz,86,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134
