,Unnamed: 0,artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,album_image,preview_url
85,85,Bad Bunny,Yo No Soy Celoso,5kVZxyMY1gfdCLiChsfjn1,90,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134,0.872,0.588,-6.276,0.0492,0.275,0.0,0.17,0.93,142.004,5kVZxyMY1gfdCLiChsfjn1,230704,4,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://p.scdn.co/mp3-preview/8b867e2dbbeb7af42c1efbc76d29d186a8ca4a61?cid=2763bb5284cd4f7cbb19087c145dca6f
86,86,Danny Cocke,Before the War – SI 2022 Main Theme,0ZQgWgsIfaECd7Cket7TVO,16,2M7JkcbtuTMqyXlprvWXG7,29,['epicore'],4686,0.399,0.579,-10.155,0.0295,0.000527,0.838,0.0968,0.158,92.512,0ZQgWgsIfaECd7Cket7TVO,274265,4,https://i.scdn.co/image/ab67616d0000b273f6c416bfa6e5def882166949,https://p.scdn.co/mp3-preview/953853c02246f43f15aed1ba36c6f36648ac1fd3?cid=2763bb5284cd4f7cbb19087c145dca6f
87,87,Bad Bunny,Neverita,31i56LZnwE6uSu3exoHjtB,90,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134,0.876,0.498,-7.511,0.0478,0.0706,0.0,0.143,0.428,122.016,31i56LZnwE6uSu3exoHjtB,173119,4,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://p.scdn.co/mp3-preview/545c52ad44359becf52e53977c0758cc6de4550b?cid=2763bb5284cd4f7cbb19087c145dca6f
88,88,Anju Panta,Chodi Janu,0oLoGMQkCrBw0vRQfMw1rl,0,5QFomiFtF0mfREM04k9XRV,32,"['classic nepali pop', 'nepali pop']",11024,0.589,0.801,-3.614,0.0325,0.608,1.71e-05,0.113,0.841,140.014,0oLoGMQkCrBw0vRQfMw1rl,256456,4,https://i.scdn.co/image/ab67616d0000b273b0861325dff7df5eda8d55a7,https://p.scdn.co/mp3-preview/ba1614cfb5c094c58873154f67ea75a5da060e07?cid=2763bb5284cd4f7cbb19087c145dca6f
89,89,Harry Styles,Grapejuice,4j6kId9QIqhoXvqHKgSKa0,86,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648,0.645,0.721,-4.394,0.0336,0.357,0.143,0.204,0.88,182.928,4j6kId9QIqhoXvqHKgSKa0,191959,4,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,https://p.scdn.co/mp3-preview/71e626d72bda1f0fd57e5405105d1db313b0c495?cid=2763bb5284cd4f7cbb19087c145dca6f
90,90,Kyau & Albert,Where Did All the Years Go (In Bloom 2022),1U7isoIVpgTXGjIUi5LUEf,16,0pyi4vNCq5T6GgV1rt7ncc,44,"['edm', 'german techno', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",49205,0.555,0.771,-11.511,0.0383,0.00204,0.136,0.36,0.269,126.358,1U7isoIVpgTXGjIUi5LUEf,197855,3,https://i.scdn.co/image/ab67616d0000b2738c829b36433dc75e1656604c,https://p.scdn.co/mp3-preview/3ac02840d63a30cd91fd67331d4c894fdb34106b?cid=2763bb5284cd4f7cbb19087c145dca6f
91,91,Kendrick Lamar,N95,0fX4oNGBWO3dSGUZcVdVV2,86,2YZyLoL8N0Wb9xBt1NhZWg,89,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",20995897,0.79,0.67,-5.527,0.105,0.377,2.32e-06,0.119,0.408,139.956,0fX4oNGBWO3dSGUZcVdVV2,195950,4,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,
92,92,Menachem 26,Istanbul 2022,5VnuU70qRWGrkLPkMLTiD4,25,24YsFyswWUJYWZOi5BQ6tJ,25,"['ethnotronica', 'organic electronic', 'organic house']",1918,0.791,0.756,-8.457,0.0445,0.0138,0.795,0.0716,0.203,112.994,5VnuU70qRWGrkLPkMLTiD4,309494,4,https://i.scdn.co/image/ab67616d0000b273080815200e5f780843ce7377,https://p.scdn.co/mp3-preview/bc13fd1833a1d5cbb91ddeb1ae5e011fc3db7505?cid=2763bb5284cd4f7cbb19087c145dca6f
93,93,Harry Styles,Little Freak,3i058E8uxTsYqJ5NWZzqSj,87,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648,0.559,0.535,-7.723,0.039,0.719,0.000143,0.0954,0.402,141.96,3i058E8uxTsYqJ5NWZzqSj,202183,4,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,https://p.scdn.co/mp3-preview/88518a721baea74fa5dd7ddd69a8295af54b0871?cid=2763bb5284cd4f7cbb19087c145dca6f
94,94,Hardage,Hysterical Years - Luca Elle Deep Remix,26iSIshoolIrb0jE135S3Q,0,23i5dMV7p0CSMcUBXk09lA,27,[],2160,0.767,0.586,-9.886,0.0639,0.0549,0.0615,0.478,0.343,120.022,26iSIshoolIrb0jE135S3Q,408000,4,https://i.scdn.co/image/ab67616d0000b2731c62bef6fae2e8d0a459cb3d,https://p.scdn.co/mp3-preview/39e39f7b0fcf0367999a8e9d8276ce190c362dcc?cid=2763bb5284cd4f7cbb19087c145dca6f
