,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
116,0.458,0.992,-5.674,0.17,1.52e-06,0.695,0.076,0.439,154.987,2i8RxKKuJyEyKvkh6Khant,324853,4
117,0.608,0.745,-4.13,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,28n8z9IQKyjMPxmvYMBqZa,224427,4
118,0.291,0.949,-5.583,0.0985,1.38e-06,0.858,0.221,0.445,95.036,6k3aSULXftjtfvoiLWWkIe,384160,4
119,0.499,0.671,-6.774,0.0561,0.114,0.0169,0.148,0.0557,124.994,28JBD8p18xNuOfyV7Cotdn,336924,3
120,0.69,0.789,-8.286,0.0448,0.912,0.0123,0.122,0.936,89.704,2MhAeWrUUWfE2rtvwmhb18,75333,4
121,0.775,0.736,-8.072,0.247,0.319,0.00116,0.127,0.362,100.988,2g6tReTlM2Akp41g0HaeXN,239027,4
122,0.606,0.414,-16.093,0.0343,0.905,0.943,0.294,0.829,107.983,1mhUDxfJryrpt9E7LZaRQC,122000,4
123,0.829,0.644,-7.696,0.0427,0.354,0.0511,0.0944,0.896,105.993,35TyJIMR3xRouUuo2sjS6v,243508,4
124,0.649,0.605,-8.329,0.0298,0.304,0.0,0.603,0.797,140.055,2bsDuMYpeGQxkXgTZRa2ER,295962,4
125,0.777,0.595,-6.79,0.0375,0.59,0.00139,0.0669,0.546,108.02,0E0DRHf5PfMeor0ZCwB3oT,244444,4
126,0.418,0.986,-5.287,0.107,1.11e-06,0.902,0.0817,0.561,170.041,6u58l9CgS5FaxvWZf3Ip03,296827,4
127,0.707,0.811,-5.298,0.0304,0.311,0.0152,0.131,0.899,113.971,69w5X6uTrOaWM32IetSzvO,187342,4
128,0.458,0.984,-5.678,0.0791,1.55e-06,0.799,0.205,0.718,155.103,74tO2k3xlibifqmx6Lpgdc,361347,4
129,0.559,0.885,-4.515,0.189,0.0432,0.0,0.333,0.683,172.029,10SRMwb9EuVS1K9rYsBfHQ,193594,4
130,0.268,0.933,-5.366,0.147,1.93e-06,0.393,0.149,0.486,164.064,5bZgaJNvx65U9SB6AfnHD4,253093,4
131,0.376,0.657,-4.658,0.0768,0.0858,0.0,0.0884,0.203,80.565,1r8ZCjfrQxoy2wVaBUbpwg,164782,4
132,0.381,0.959,-5.265,0.21,2.17e-06,0.0688,0.272,0.583,180.241,36PqjBEHJXuq99F7CFkyC7,270120,4
133,0.797,0.616,-10.229,0.375,0.762,0.000293,0.0979,0.451,103.071,44XjoNvtwevktFKjvVe1vH,339612,4
134,0.214,0.165,-10.832,0.032,0.9,0.0,0.111,0.161,86.195,69sdSYaI6o7ta9gjFVGgcE,224632,1
135,0.524,0.643,-6.055,0.0297,0.451,0.0,0.221,0.397,135.962,5gVCfYmQRPy1QJifP8f5gg,232059,4
136,0.509,0.863,-5.968,0.0307,0.00112,0.0207,0.331,0.0811,134.676,0blrlOlHku8MBGAavtvgsn,251244,4
137,0.529,0.695,-6.174,0.0278,0.488,1.24e-05,0.142,0.514,139.993,6NHpyYvJyQsg2nXXzGYc2R,215572,4
138,0.379,0.978,-5.119,0.151,0.0,0.875,0.142,0.423,170.011,1e9GEPlq8z4NpJUZN1zFrF,251733,4
